k_active,trajectory,seed,control,official_w_corr_global,centered_w_corr_global,alpha_mae,alpha_temporal_variation_ratio,w_temporal_variation_ratio,w_relative_innovation_error
3,simple,20260733,constant_mean_alpha,0.9953220637926001,0.7428695176714758,0.27093333333333336,4.735526547409615e-16,7.52685225134459e-15,0.6615511167671951
3,medium,20260729,constant_mean_alpha,0.9964200125247717,0.7804362510737035,0.23770689098817976,0.0,8.342122816670946e-15,0.6168450627644676
3,medium,20260730,constant_mean_alpha,0.9964200125247717,0.7804362510737035,0.23770689098817976,0.0,8.342122816670946e-15,0.6168450627644676
3,medium,20260731,constant_mean_alpha,0.9964200125247717,0.7804362510737035,0.23770689098817976,0.0,8.342122816670946e-15,0.6168450627644676
3,medium,20260732,constant_mean_alpha,0.9964200125247717,0.7804362510737035,0.23770689098817976,0.0,8.342122816670946e-15,0.6168450627644676
3,medium,20260733,constant_mean_alpha,0.9964200125247717,0.7804362510737035,0.23770689098817976,0.0,8.342122816670946e-15,0.6168450627644676
3,complex,20260729,constant_mean_alpha,0.9968018550107461,0.7858304766636866,0.21988388702288394,1.0233714987702315e-15,9.339651009502553e-15,0.6092759853569558
3,complex,20260730,constant_mean_alpha,0.9968018550107461,0.7858304766636866,0.21988388702288394,1.0233714987702315e-15,9.339651009502553e-15,0.6092759853569558
3,complex,20260731,constant_mean_alpha,0.9968018550107461,0.7858304766636866,0.21988388702288394,1.0233714987702315e-15,9.339651009502553e-15,0.6092759853569558
3,complex,20260732,constant_mean_alpha,0.9968018550107461,0.7858304766636866,0.21988388702288394,1.0233714987702315e-15,9.339651009502553e-15,0.6092759853569558
3,complex,20260733,constant_mean_alpha,0.9968018550107461,0.7858304766636866,0.21988388702288394,1.0233714987702315e-15,9.339651009502553e-15,0.6092759853569558
4,simple,20260729,constant_mean_alpha,0.9937753966046394,0.6346297805370796,0.263888,3.209421624518487e-16,6.541392350500286e-15,0.7637080004936415
4,simple,20260730,constant_mean_alpha,0.9937753966046394,0.6346297805370796,0.263888,3.209421624518487e-16,6.541392350500286e-15,0.7637080004936415
4,simple,20260731,constant_mean_alpha,0.9937753966046394,0.6346297805370796,0.263888,3.209421624518487e-16,6.541392350500286e-15,0.7637080004936415
4,simple,20260732,constant_mean_alpha,0.9937753966046394,0.6346297805370796,0.263888,3.209421624518487e-16,6.541392350500286e-15,0.7637080004936415
4,simple,20260733,constant_mean_alpha,0.9937753966046394,0.6346297805370796,0.263888,3.209421624518487e-16,6.541392350500286e-15,0.7637080004936415
4,medium,20260729,constant_mean_alpha,0.9963148085214342,0.7241345559073942,0.20616997640503107,8.459032021435514e-16,8.615996411024584e-15,0.6787480390382703
4,medium,20260730,constant_mean_alpha,0.9963148085214342,0.7241345559073942,0.20616997640503107,8.459032021435514e-16,8.615996411024584e-15,0.6787480390382703
4,medium,20260731,constant_mean_alpha,0.9963148085214342,0.7241345559073942,0.20616997640503107,8.459032021435514e-16,8.615996411024584e-15,0.6787480390382703
4,medium,20260732,constant_mean_alpha,0.9963148085214342,0.7241345559073942,0.20616997640503107,8.459032021435514e-16,8.615996411024584e-15,0.6787480390382703
4,medium,20260733,constant_mean_alpha,0.9963148085214342,0.7241345559073942,0.20616997640503107,8.459032021435514e-16,8.615996411024584e-15,0.6787480390382703
4,complex,20260729,constant_mean_alpha,0.9977246817601311,0.7917529270587302,0.16675369428431078,9.171883673059928e-16,1.0402683075091946e-14,0.5985161227192286
